Antibiotic,level,Imputation,cutoff,HC,HC_raw
Amikacin,genus,FALSE,0.1,0.026280593597242812,0.026280593597242812
Amikacin,genus,FALSE,0.2,0.04611307187295148,0.04611307187295148
Amikacin,genus,FALSE,0.5,0.13519995383768962,0.13519995383768962
Amikacin,species,FALSE,0.1,0.019677547964949804,0.019677547964949804
Amikacin,species,FALSE,0.2,0.03435548741491397,0.03435548741491397
Amikacin,species,FALSE,0.5,0.09977211574238419,0.09977211574238419
Amoxicillin,genus,FALSE,0.1,0.0015739250213074206,0.0015739250213074206
Amoxicillin,genus,FALSE,0.2,0.0041801716500392706,0.0041801716500392706
Amoxicillin,genus,FALSE,0.5,0.027085774985284,0.027085774985284
Amoxicillin,species,FALSE,0.1,0.001054030923316688,0.001054030923316688
Amoxicillin,species,FALSE,0.2,0.003127379210218877,0.003127379210218877
Amoxicillin,species,FALSE,0.5,0.025048372518811805,0.025048372518811805
Amoxicillin-clavulanic acid (fixed),genus,FALSE,0.1,0.002516344825197129,0.002516344825197129
Amoxicillin-clavulanic acid (fixed),genus,FALSE,0.2,0.005364624965826972,0.005364624965826972
Amoxicillin-clavulanic acid (fixed),genus,FALSE,0.5,0.02282972386509828,0.02282972386509828
Amoxicillin-clavulanic acid (fixed),species,FALSE,0.1,0.003905736055893541,0.003905736055893541
Amoxicillin-clavulanic acid (fixed),species,FALSE,0.2,0.008909864630375101,0.008909864630375101
Amoxicillin-clavulanic acid (fixed),species,FALSE,0.5,0.04315935997028622,0.04315935997028622
Amphotericin B,genus,TRUE,0.1,0.0021343691790257297,0.005329996871156747
Amphotericin B,genus,TRUE,0.2,0.004188071771747347,0.0076389305539595114
Amphotericin B,genus,TRUE,0.5,0.015207486872298798,0.015207486872298798
Amphotericin B,species,FALSE,0.1,0.0042969382597975786,0.0042969382597975786
Amphotericin B,species,FALSE,0.2,0.0064539328347048945,0.0064539328347048945
Amphotericin B,species,FALSE,0.5,0.014053971593047356,0.014053971593047356
Ampicillin,genus,FALSE,0.1,0.004554251141127876,0.004554251141127876
Ampicillin,genus,FALSE,0.2,0.011755907037217591,0.011755907037217591
Ampicillin,genus,FALSE,0.5,0.07213346180239612,0.07213346180239612
Ampicillin,species,FALSE,0.1,0.005100964364431945,0.005100964364431945
Ampicillin,species,FALSE,0.2,0.012773745461313293,0.012773745461313293
Ampicillin,species,FALSE,0.5,0.07396010634084786,0.07396010634084786
Ampicillin-sulbactam (fixed),genus,TRUE,0.1,0.005850712345827369,0.02379911836151029
Ampicillin-sulbactam (fixed),genus,TRUE,0.2,0.011480302218081237,0.028848774885108727
Ampicillin-sulbactam (fixed),genus,TRUE,0.5,0.04168661732333497,0.04168661732333497
Ampicillin-sulbactam (fixed),species,TRUE,0.1,0.006303833860134218,0.02379911836151029
Ampicillin-sulbactam (fixed),species,TRUE,0.2,0.012056699803404238,0.028848774885108727
Ampicillin-sulbactam (fixed),species,TRUE,0.5,0.04168661732333497,0.04168661732333497
Ampicillin-sulbactam (ratio),genus,FALSE,0.1,0.03540668466140908,0.03540668466140908
Ampicillin-sulbactam (ratio),genus,FALSE,0.2,0.0665343970203668,0.0665343970203668
Ampicillin-sulbactam (ratio),genus,FALSE,0.5,0.22241037171299505,0.22241037171299505
Ampicillin-sulbactam (ratio),species,FALSE,0.1,0.028009798034939543,0.028009798034939543
Ampicillin-sulbactam (ratio),species,FALSE,0.2,0.05308397157579183,0.05308397157579183
Ampicillin-sulbactam (ratio),species,FALSE,0.5,0.18035832780226138,0.18035832780226138
Anidulafungin,genus,TRUE,0.1,2.0541496211524921e-4,NA
Anidulafungin,genus,TRUE,0.2,4.030664482899444e-4,NA
Anidulafungin,genus,TRUE,0.5,0.0014635918520746905,NA
Anidulafungin,species,FALSE,0.1,8.662994098140145e-5,8.662994098140145e-5
Anidulafungin,species,FALSE,0.2,2.286283343832899e-4,2.286283343832899e-4
Anidulafungin,species,FALSE,0.5,0.0014635918520746905,0.0014635918520746905
Avilamycin,genus,TRUE,0.1,0.021712079913983853,0.13798789015752458
Avilamycin,genus,TRUE,0.2,0.04260357106317744,0.14351068517132648
Avilamycin,genus,TRUE,0.5,0.1546996524813627,0.1546996524813627
Avilamycin,species,TRUE,0.1,0.0229799604209189,0.09036088000169915
Avilamycin,species,TRUE,0.2,0.043951425503341385,0.10801385612336145
Avilamycin,species,TRUE,0.5,0.15196415981556868,0.15196415981556868
Azithromycin,genus,FALSE,0.1,0.0056563194519331445,0.0056563194519331445
Azithromycin,genus,FALSE,0.2,0.010838038078904827,0.010838038078904827
Azithromycin,genus,FALSE,0.5,0.037604174187692206,0.037604174187692206
Azithromycin,species,FALSE,0.1,0.006669343831157412,0.006669343831157412
Azithromycin,species,FALSE,0.2,0.013198050875506642,0.013198050875506642
Azithromycin,species,FALSE,0.5,0.04870766485368346,0.04870766485368346
Aztreonam,genus,FALSE,0.1,0.0015102484124875596,0.0015102484124875596
Aztreonam,genus,FALSE,0.2,0.003672980327543248,0.003672980327543248
Aztreonam,genus,FALSE,0.5,0.020109899408572995,0.020109899408572995
Aztreonam,species,FALSE,0.1,0.0015244975822563964,0.0015244975822563964
Aztreonam,species,FALSE,0.2,0.003651559977582757,0.003651559977582757
Aztreonam,species,FALSE,0.5,0.019418156379048885,0.019418156379048885
Bacitracin,genus,TRUE,0.1,0.06306594965290895,NA
Bacitracin,genus,TRUE,0.2,0.12374837778549248,NA
Bacitracin,genus,TRUE,0.5,0.44934803728446654,NA
Bacitracin,species,TRUE,0.1,0.06795023329544796,0.4071226271665371
Bacitracin,species,TRUE,0.2,0.12996147782312525,0.4211505548888252
Bacitracin,species,TRUE,0.5,0.44934803728446654,0.44934803728446654
Bedaquiline,genus,TRUE,0.1,4.247362185231936e-4,NA
Bedaquiline,genus,TRUE,0.2,8.334199091310326e-4,NA
Bedaquiline,genus,TRUE,0.5,0.0030262667446920794,NA
Bedaquiline,species,TRUE,0.1,4.5763086572892306e-4,8.859235078490501e-4
Bedaquiline,species,TRUE,0.2,8.752638618474219e-4,0.0013506399390534457
Bedaquiline,species,TRUE,0.5,0.003026266744692082,0.003026266744692082
Benzylpenicillin,genus,FALSE,0.1,7.120691261649049e-4,7.120691261649049e-4
Benzylpenicillin,genus,FALSE,0.2,0.0015115402608238575,0.0015115402608238575
Benzylpenicillin,genus,FALSE,0.5,0.006379702103907278,0.006379702103907278
Benzylpenicillin,species,FALSE,0.1,4.7644633022023126e-4,4.7644633022023126e-4
Benzylpenicillin,species,FALSE,0.2,0.0012058241540216957,0.0012058241540216957
Benzylpenicillin,species,FALSE,0.5,0.007124774249747487,0.007124774249747487
Cefaclor,genus,FALSE,0.1,0.008044398388642267,0.008044398388642267
Cefaclor,genus,FALSE,0.2,0.012746028736746143,0.012746028736746143
Cefaclor,genus,FALSE,0.5,0.030744224513150276,0.030744224513150276
Cefaclor,species,FALSE,0.1,0.005081050049212913,0.005081050049212913
Cefaclor,species,FALSE,0.2,0.00838620925662886,0.00838620925662886
Cefaclor,species,FALSE,0.5,0.02187131751779041,0.02187131751779041
Cefadroxil,genus,TRUE,0.1,0.03440767695444804,0.0487806747902589
Cefadroxil,genus,TRUE,0.2,0.06751494633655805,0.0849090150703137
Cefadroxil,genus,TRUE,0.5,0.24515641470699787,0.24515641470699787
Cefadroxil,species,FALSE,0.1,0.023715254559707192,0.023715254559707192
Cefadroxil,species,FALSE,0.2,0.04275475931593584,0.04275475931593584
Cefadroxil,species,FALSE,0.5,0.13202302005729355,0.13202302005729355
Cefalexin,genus,FALSE,0.1,0.03486051984801041,0.03486051984801041
Cefalexin,genus,FALSE,0.2,0.06003788499579184,0.06003788499579184
Cefalexin,genus,FALSE,0.5,0.16985838558785032,0.16985838558785032
Cefalexin,species,FALSE,0.1,0.026983202609782916,0.026983202609782916
Cefalexin,species,FALSE,0.2,0.04758070490744229,0.04758070490744229
Cefalexin,species,FALSE,0.5,0.14082948715596866,0.14082948715596866
Cefaloridine,genus,TRUE,0.1,0.01145438661279389,NA
Cefaloridine,genus,TRUE,0.2,0.022475864863088203,NA
Cefaloridine,genus,TRUE,0.5,0.08161307601143837,NA
Cefaloridine,species,TRUE,0.1,0.012341497224401185,NA
Cefaloridine,species,TRUE,0.2,0.023604322458457616,NA
Cefaloridine,species,TRUE,0.5,0.08161307601143837,NA
Cefalothin,genus,FALSE,0.1,0.028595658860100657,0.028595658860100657
Cefalothin,genus,FALSE,0.2,0.06808543175643449,0.06808543175643449
Cefalothin,genus,FALSE,0.5,0.35794336780984565,0.35794336780984565
Cefalothin,species,FALSE,0.1,0.011021901473248032,0.011021901473248032
Cefalothin,species,FALSE,0.2,0.030092571429546938,0.030092571429546938
Cefalothin,species,FALSE,0.5,0.20556511990806373,0.20556511990806373
Cefazolin,genus,FALSE,0.1,0.011209253802761734,0.011209253802761734
Cefazolin,genus,FALSE,0.2,0.02949936692559609,0.02949936692559609
Cefazolin,genus,FALSE,0.5,0.18782660752501298,0.18782660752501298
Cefazolin,species,FALSE,0.1,0.010574898637907997,0.010574898637907997
Cefazolin,species,FALSE,0.2,0.026609736558216072,0.026609736558216072
Cefazolin,species,FALSE,0.5,0.15550137557279245,0.15550137557279245
Cefdinir,genus,TRUE,0.1,0.001597556544747067,0.0018621732054699088
Cefdinir,genus,TRUE,0.2,0.0031347348596363726,0.0034666871506388087
Cefdinir,genus,TRUE,0.5,0.011382670074483483,0.011382670074483483
Cefdinir,species,TRUE,0.1,0.001630913257465201,0.0020446256628920655
Cefdinir,species,TRUE,0.2,0.0031192813749427377,0.0036185394201752475
