Antibiotic,CASRN,level,name,Genus,MSC,PAF,Imputation
Amikacin,37517-28-5,species,Acinetobacter anitratus,Acinetobacter,0.08057696394925654,0.58,FALSE
Amikacin,37517-28-5,species,Acinetobacter baumannii,Acinetobacter,0.09408937382133604,0.64,FALSE
Amikacin,37517-28-5,species,Acinetobacter calcoaceticus,Acinetobacter,0.0831527974640317,0.6,FALSE
Amikacin,37517-28-5,species,Acinetobacter lwoffii,Acinetobacter,0.03328315319884006,0.12,FALSE
Amikacin,37517-28-5,species,Acinetobacter pittii,Acinetobacter,0.08897321611867773,0.62,FALSE
Amikacin,37517-28-5,genus,Acinetobacter,Acinetobacter,0.07148623412347278,0.5,FALSE
Amikacin,37517-28-5,species,Alcaligenes faecalis,Alcaligenes,0.3380285104892868,0.84,FALSE
Amikacin,37517-28-5,genus,Alcaligenes,Alcaligenes,0.3380285104892868,0.8,FALSE
Amikacin,37517-28-5,species,Chryseobacterium spp,Chryseobacterium,0.8452506383888587,0.9,FALSE
Amikacin,37517-28-5,genus,Chryseobacterium,Chryseobacterium,0.8452506383888587,0.9,FALSE
Amikacin,37517-28-5,species,Citrobacter amalonaticus,Citrobacter,0.06434189452169582,0.38,FALSE
Amikacin,37517-28-5,species,Citrobacter braakii,Citrobacter,0.06563681437776289,0.42,FALSE
Amikacin,37517-28-5,species,Citrobacter freundii,Citrobacter,0.07296643612464898,0.52,FALSE
Amikacin,37517-28-5,species,Citrobacter koseri,Citrobacter,0.04200201411534675,0.22,FALSE
Amikacin,37517-28-5,genus,Citrobacter,Citrobacter,0.05998030193186993,0.3,FALSE
Amikacin,37517-28-5,species,Enterobacter amnigenus,Enterobacter,0.0623087949302034,0.34,FALSE
Amikacin,37517-28-5,species,Enterobacter asburiae,Enterobacter,0.07261221847501144,0.5,FALSE
Amikacin,37517-28-5,species,Enterobacter cloacae,Enterobacter,0.05977721856873061,0.3,FALSE
Amikacin,37517-28-5,species,Enterobacter sakazakii,Enterobacter,0.06685939287141666,0.46,FALSE
Amikacin,37517-28-5,genus,Enterobacter,Enterobacter,0.06521001459729162,0.45,FALSE
Amikacin,37517-28-5,species,Enterococcus faecalis,Enterococcus,3.2571329327273215,1,FALSE
Amikacin,37517-28-5,species,Enterococcus faecium,Enterococcus,1.9435541056971424,0.98,FALSE
Amikacin,37517-28-5,genus,Enterococcus,Enterococcus,2.5160314155835892,1,FALSE
Amikacin,37517-28-5,species,Escherichia coli,Escherichia,0.0981399378292907,0.68,FALSE
Amikacin,37517-28-5,species,Escherichia coli ATCC 25922,Escherichia,0.1180118065692528,0.76,FALSE
Amikacin,37517-28-5,species,Escherichia coli NCTC 13846,Escherichia,0.1141349901333425,0.72,FALSE
Amikacin,37517-28-5,genus,Escherichia,Escherichia,0.10974801677275577,0.65,FALSE
Amikacin,37517-28-5,species,Haemophilus influenzae,Haemophilus,0.3058699341417001,0.82,FALSE
Amikacin,37517-28-5,genus,Haemophilus,Haemophilus,0.3058699341417001,0.75,FALSE
Amikacin,37517-28-5,species,Klebsiella aerogenes,Klebsiella,0.07336591653808718,0.54,FALSE
Amikacin,37517-28-5,species,Klebsiella oxytoca,Klebsiella,0.0761044880772229,0.56,FALSE
Amikacin,37517-28-5,species,Klebsiella ozaenae,Klebsiella,0.04153775223390359,0.2,FALSE
Amikacin,37517-28-5,species,Klebsiella pneumoniae,Klebsiella,0.07031931305372353,0.48,FALSE
Amikacin,37517-28-5,genus,Klebsiella,Klebsiella,0.06354853701063404,0.4,FALSE
Amikacin,37517-28-5,species,Lactobacillus reuteri,Lactobacillus,0.9785062579878464,0.94,FALSE
Amikacin,37517-28-5,genus,Lactobacillus,Lactobacillus,0.9785062579878464,0.95,FALSE
Amikacin,37517-28-5,species,Morganella morganii,Morganella,0.06253327873548324,0.36,FALSE
